,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
nazov,Emisie základných znečisťujúcich látok,,,,,,,,,,,,,,,,,,
Jednotky,Produkcia v tonách,,,,,,,,,,,,,,,,,,
Typ emisií,Tuhé emisie,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
Okres Humenné,"260,9","7,3","7,6","6,9","13,3","16,8","20,9","25,2","30,9","44,5","83,4","45,6","25,0","129,0","134,9","119,3","188,2","176,1","280,2"
Okres Kežmarok,"293,4","6,2","5,7","6,2","7,0","7,9","6,9","7,3","8,0","12,1","6,8","8,1","8,4","9,5","11,6","15,7","19,6","21,8","27,3"
Okres Levoča,"174,3","3,9","3,5","3,2","7,9","8,4","4,4","5,9","6,7","7,2","8,6","8,6","8,8","9,8","9,0","9,2","7,1","10,8","19,8"
Okres Medzilaborce,"164,0","6,2","7,5","5,4","2,1","8,6","10,6","14,3","0,2","0,2","0,3","0,6","0,6","0,6","0,8","0,8","1,1","2,7","3,9"
Okres Poprad,"265,0","17,0","19,0","18,1","18,8","19,1","19,5","22,5","27,1","28,7","34,6","35,8","37,4","46,4","49,1","55,9","53,2","55,1","79,1"
Okres Prešov,"427,7","29,3","27,9","25,1","26,6","21,8","23,9","26,0","29,2","34,6","76,3","77,0","205,3","207,3","197,2","173,1","139,0","98,8","152,5"
Okres Sabinov,"244,7","3,1","4,0","3,7","4,4","5,3","5,4","5,1","5,0","5,6","4,8","5,5","4,7","4,4","4,6","6,1","15,7","20,7","23,5"
Okres Snina,"328,0","12,8","14,3","13,8","14,0","12,9","12,5","11,3","12,4","12,8","12,1","12,5","15,0","58,8","77,9","79,8","80,1","82,9","103,2"
Okres Stará Ľubovňa,"361,7","2,7","2,5","2,1","3,1","3,2","3,4","5,2","5,6","6,7","7,8","7,9","9,7","17,4","22,3","26,9","29,8","32,2","35,6"
Okres Stropkov,"125,7","0,4","0,4","0,4","0,7","1,0","1,0","0,9","1,0","1,3","1,4","3,0","7,2","1,0","2,0","2,5","2,5","4,6","9,3"
Okres Svidník,"187,6","3,9","3,7","4,0","4,0","4,5","5,6","5,8","7,5","6,5","7,8","13,2","21,3","23,6","18,9","20,0","28,4","23,0","18,5"
