,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nazov,Živonarodení podľa poradia (Osoba),,,,,,,,,,,,,,,,,,,,,,,,,,,
poradie,5. a vyššie,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Okres Poprad,77,77,65,91,63,82,78,74,78,75,64,70,89,79,80,90,81,85,71,64,72,79,68,67,64,56,50,50
Okres Prešov,165,143,163,165,197,197,202,179,182,194,184,200,161,186,164,176,153,150,150,149,152,144,157,146,158,134,162,153
Okres Sabinov,119,128,110,137,142,132,136,135,142,121,145,138,138,145,143,144,129,155,122,143,128,153,152,126,136,135,123,145
Okres Snina,22,19,15,19,25,20,21,20,21,11,17,18,16,11,12,12,17,10,12,1,7,8,3,8,7,8,8,6
Okres Spišská Nová Ves,112,120,143,165,168,162,195,176,173,194,207,232,237,218,223,223,233,224,204,192,180,178,165,139,135,134,154,136
Okres Trebišov,82,79,81,104,112,132,104,138,123,122,151,138,162,151,143,138,150,152,152,156,159,153,174,153,167,137,142,154
Okres Gelnica,49,43,37,64,65,73,56,62,51,66,57,65,79,88,75,99,81,80,94,68,85,72,86,88,95,76,94,90
Okres Košice I,33,39,51,49,54,38,38,40,32,42,34,23,30,26,24,14,17,17,25,21,13,11,8,16,16,20,8,10
Okres Košice II,44,45,28,57,70,78,68,71,96,74,82,88,72,67,71,49,75,66,65,50,42,40,47,49,51,60,56,49
Okres Košice III,9,11,21,24,28,19,17,16,13,16,15,10,8,6,4,9,3,7,8,7,7,5,8,8,8,7,6,9
Okres Košice IV,33,35,26,32,36,41,29,33,30,27,26,23,23,21,22,21,14,28,13,24,9,10,16,10,19,17,9,13
Okres Košice - okolie,160,161,137,137,163,165,168,197,191,185,227,229,245,216,199,197,237,203,213,207,187,190,182,192,195,192,177,198
Okres Michalovce,58,61,61,70,64,85,98,126,128,112,132,142,153,137,135,122,137,133,143,116,103,117,130,95,110,109,92,115
Okres Rožňava,26,25,29,35,40,54,48,59,68,64,49,57,49,64,64,59,68,66,82,63,72,73,67,68,65,50,59,47
Okres Sobrance,10,18,12,15,17,11,13,20,13,14,15,12,12,20,11,17,12,20,15,16,8,18,10,15,21,14,17,23
