,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
nazov,Emisie základných znečisťujúcich látok,,,,,,,,,,,,,,,,,,
Jednotky,Produkcia v tonách,,,,,,,,,,,,,,,,,,
Typ emisií,Oxid siričitý,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
Okres Bardejov,"22,7","2,5","2,7","2,5","1,8","3,9","3,8","3,5","4,1","4,2","5,0","4,3","4,4","5,5","5,2","4,7","2,7","4,2","22,3"
Okres Humenné,"38,4","23,8","25,3","27,2","29,1","16,6","41,6","54,7","149,1","261,1","250,8","207,0","479,2","931,6","1 126,1","1 350,2","1 382,4","1 263,3","1 692,8"
Okres Kežmarok,"22,2","1,6","4,2","4,1","2,0","4,0","3,4","2,8","8,4","10,6","11,2","8,8","11,3","10,5","14,7","19,4","16,1","24,7","36,5"
Okres Levoča,"14,1","4,4","3,8","3,3","2,2","1,8","1,6","1,8","3,2","5,1","5,3","7,2","5,5","6,6","6,6","7,8","6,2","9,9","16,7"
Okres Medzilaborce,"9,1","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,6","0,6","0,7","0,6","0,6","0,6","2,2","4,4"
Okres Poprad,"15,8","1,5","1,5","1,4","1,9","1,8","1,4","1,4","1,5","1,5","1,6","1,4","1,4","15,5","26,9","31,5","31,2","35,5","49,3"
Okres Prešov,"28,6","5,5","4,9","5,6","3,6","1,9","3,8","4,6","5,1","4,6","5,4","6,8","11,8","10,1","8,2","15,4","22,8","24,9","44,4"
Okres Sabinov,"19,4","0,4","0,0","0,1","0,1","0,1","0,1","0,1","0,1","1,3","4,1","4,9","4,7","5,1","8,2","10,6","9,3","15,1","18,4"
Okres Snina,"20,2","0,2","0,2","0,2","0,2","0,2","70,0","120,8","87,3","83,6","112,2","106,2","92,3","114,8","326,4","262,5","283,5","280,7","318,2"
Okres Stará Ľubovňa,"25,3","0,2","0,2","9,6","8,9","11,2","11,7","10,8","7,8","5,6","6,9","6,9","6,8","16,8","26,1","33,7","36,4","38,4","51,3"
Okres Stropkov,"7,7","0,1","0,3","0,2","0,0","0,1","0,0","0,0","0,0","0,0","0,0","0,0","0,2","0,3","0,6","0,4","0,8","1,4","4,8"
Okres Svidník,"16,3","2,0","3,3","5,8","8,7","5,5","1,0","0,9","0,8","2,0","2,3","2,1","1,9","2,0","2,0","2,1","1,1","1,6","1,8"
Okres Vranov nad Topľou,"306,1","313,6","257,5","1 243,2","1 381,0","1 534,3","1 213,1","1 292,6","735,7","1 561,1","1 054,0","854,8","2 204,1","2 223,4","2 513,5","2 285,7","3 930,2","3 506,8","3 674,7"
Okres Gelnica,"19,9","1,4","1,4","1,0","1,1","1,6","1,8","1,2","0,8","2,1","6,3","12,2","8,1","5,2","15,0","16,9","20,6","27,5","25,2"
,,,,,,,,,,,,,,,,,,,
Okres Košice I,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Okres Košice II,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Okres Košice III,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Okres Košice IV,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Okres Košice - okolie,"109,8","48,3","29,5","33,7","33,8","47,3","44,7","30,6","24,1","20,6","42,9","20,7","26,8","24,0","22,1","24,1","52,5","67,1","131,1"
Okres Michalovce,"272,7","534,7","449,4","308,9","581,4","532,9","506,4","776,4","818,7","687,8","614,7","886,5","1 063,3","2 514,7","3 220,2","4 367,6","5 439,9","11 204,0","17 747,0"
Okres Rožňava,"47,3","5,6","5,4","4,8","5,0","4,2","3,0","4,2","18,3","7,3","5,0","1 284,6","2 206,9","2 349,5","2 232,9","2 492,6","2 633,9","2 745,7","3 585,5"
Okres Sobrance,"18,3","14,2","16,2","14,5","15,5","17,0","9,5","10,1","10,4","3,5","4,7","4,7","4,1","5,4","4,5","5,1","7,9","9,9","13,0"
Okres Spišská Nová Ves,"43,8","24,4","81,1","97,4","85,5","28,3","28,0","75,2","87,6","98,0","103,0","87,4","95,5","115,5","125,3","137,8","78,3","80,5","252,5"
Okres Trebišov,"36,0","10,6","6,7","7,5","5,8","5,3","6,6","3,8","7,0","7,9","9,0","8,5","7,2","17,0","7,9","13,7","33,9","34,0","42,3"
